"tickers","tickers/_text"
"http://www.nasdaq.com/symbol/msft","MSFT"
"https://www.nyse.com/quote/XNYS:MHK","MHK"
"https://www.nyse.com/quote/XNYS:TAP","TAP"
"http://www.nasdaq.com/symbol/mdlz","MDLZ"
"https://www.nyse.com/quote/XNYS:MON","MON"
"http://www.nasdaq.com/symbol/mnst","MNST"
"https://www.nyse.com/quote/XNYS:MCO","MCO"
"https://www.nyse.com/quote/XNYS:MS","MS"
"https://www.nyse.com/quote/XNYS:MOS","MOS"
"https://www.nyse.com/quote/XNYS:MSI","MSI"
"https://www.nyse.com/quote/XNYS:MUR","MUR"
"http://www.nasdaq.com/symbol/myl","MYL"
"https://www.nyse.com/quote/XNYS:NBR","NBR"
"http://www.nasdaq.com/symbol/ndaq","NDAQ"
"https://www.nyse.com/quote/XNYS:NOV","NOV"
"http://www.nasdaq.com/symbol/navi","NAVI"
"http://www.nasdaq.com/symbol/ntap","NTAP"
"http://www.nasdaq.com/symbol/nflx","NFLX"
"https://www.nyse.com/quote/XNYS:NWL","NWL"
"https://www.nyse.com/quote/XNYS:NFX","NFX"
"https://www.nyse.com/quote/XNYS:NEM","NEM"
"http://www.nasdaq.com/symbol/nwsa","NWSA"
"https://www.nyse.com/quote/XNYS:NEE","NEE"
"https://www.nyse.com/quote/XNYS:NLSN","NLSN"
"https://www.nyse.com/quote/XNYS:NKE","NKE"
"https://www.nyse.com/quote/XNYS:NI","NI"
"https://www.nyse.com/quote/XNYS:NE","NE"
"https://www.nyse.com/quote/XNYS:NBL","NBL"
"https://www.nyse.com/quote/XNYS:JWN","JWN"
"https://www.nyse.com/quote/XNYS:NSC","NSC"
"http://www.nasdaq.com/symbol/ntrs","NTRS"
"https://www.nyse.com/quote/XNYS:NOC","NOC"
"https://www.nyse.com/quote/XNYS:NU","NU"
"https://www.nyse.com/quote/XNYS:NRG","NRG"
"https://www.nyse.com/quote/XNYS:NUE","NUE"
"http://www.nasdaq.com/symbol/nvda","NVDA"
"https://www.nyse.com/quote/XNYS:KORS","KORS"
"http://www.nasdaq.com/symbol/orly","ORLY"
"https://www.nyse.com/quote/XNYS:OXY","OXY"
"https://www.nyse.com/quote/XNYS:OMC","OMC"
"https://www.nyse.com/quote/XNYS:OKE","OKE"
"https://www.nyse.com/quote/XNYS:ORCL","ORCL"
"https://www.nyse.com/quote/XNYS:OI","OI"
"https://www.nyse.com/quote/XNYS:PCG","PCG"
"http://www.nasdaq.com/symbol/pcar","PCAR"
"https://www.nyse.com/quote/XNYS:PLL","PLL"
"https://www.nyse.com/quote/XNYS:PH","PH"
"http://www.nasdaq.com/symbol/pdco","PDCO"
"http://www.nasdaq.com/symbol/payx","PAYX"
"https://www.nyse.com/quote/XNYS:PNR","PNR"
"http://www.nasdaq.com/symbol/pbct","PBCT"
"https://www.nyse.com/quote/XNYS:POM","POM"
"https://www.nyse.com/quote/XNYS:PEP","PEP"
"https://www.nyse.com/quote/XNYS:PKI","PKI"
"https://www.nyse.com/quote/XNYS:PRGO","PRGO"
"http://www.nasdaq.com/symbol/petm","PETM"
